Base Game,Variant,Standard(s)/Grade,Engine Family,Mechanic Summary,Digital Fit,Notes
Pop,Multiplication Pop,5.NBT.B.5,Pop: Bust-if-Over Digit Placement,"Same as base Pop, different expression template (sum/diff/expression/perimeter/product/fraction/mixed-number)",Great fit,Reuse our existing dice-roll + slot-placement + leading-zero code directly
Pop,Fraction Addition and Subtraction Pop,5.NF.A.1,Pop: Bust-if-Over Digit Placement,"Same as base Pop, different expression template (sum/diff/expression/perimeter/product/fraction/mixed-number)",Great fit,Reuse our existing dice-roll + slot-placement + leading-zero code directly
Pop,Mixed Number Multiplication Pop,5.NF.B.4a/6,Pop: Bust-if-Over Digit Placement,"Same as base Pop, different expression template (sum/diff/expression/perimeter/product/fraction/mixed-number)",Great fit,Reuse our existing dice-roll + slot-placement + leading-zero code directly
Pop,Mixed Number Addition and Subtraction Pop,5.NF.A.1,Pop: Bust-if-Over Digit Placement,"Same as base Pop, different expression template (sum/diff/expression/perimeter/product/fraction/mixed-number)",Great fit,Reuse our existing dice-roll + slot-placement + leading-zero code directly
Pig,Pig (base),"1.OA.C.6, 1.NBT.C.4, 2.OA.B.2, 2.NBT.B.5",Pig: Push-Your-Luck,Roll repeatedly to accumulate points; bust condition loses the round's points; bank anytime,Great fit - single reusable engine,7-8 variants share ONE engine; only value-per-roll + bust condition changes
Pig,Hog,(same family),Pig: Push-Your-Luck,Roll repeatedly to accumulate points; bust condition loses the round's points; bank anytime,Great fit - single reusable engine,7-8 variants share ONE engine; only value-per-roll + bust condition changes
Pig,Counting Up Pig,1.OA.C.5,Pig: Push-Your-Luck,Roll repeatedly to accumulate points; bust condition loses the round's points; bank anytime,Great fit - single reusable engine,7-8 variants share ONE engine; only value-per-roll + bust condition changes
Pig,Subtraction Pig,2.NBT.B.5/7,Pig: Push-Your-Luck,Roll repeatedly to accumulate points; bust condition loses the round's points; bank anytime,Great fit - single reusable engine,7-8 variants share ONE engine; only value-per-roll + bust condition changes
Pig,Fraction Pig,4.NF.B.3,Pig: Push-Your-Luck,Roll repeatedly to accumulate points; bust condition loses the round's points; bank anytime,Great fit - single reusable engine,7-8 variants share ONE engine; only value-per-roll + bust condition changes
Pig,Decimal Pig,5.NBT.B.7,Pig: Push-Your-Luck,Roll repeatedly to accumulate points; bust condition loses the round's points; bank anytime,Great fit - single reusable engine,7-8 variants share ONE engine; only value-per-roll + bust condition changes
Pig,Pig Pens,"3.NBT.A.2, 3.MD.D.8",Pig: Push-Your-Luck,Roll repeatedly to accumulate points; bust condition loses the round's points; bank anytime,Great fit - single reusable engine,7-8 variants share ONE engine; only value-per-roll + bust condition changes
Pig,Operations Pig,5.NBT.B.5,Pig: Push-Your-Luck,Roll repeatedly to accumulate points; bust condition loses the round's points; bank anytime,Great fit - single reusable engine,7-8 variants share ONE engine; only value-per-roll + bust condition changes
Nim,Nim (base),1.OA.C.5,Nim: Combinatorial Race-to/Avoid-Target,Alternately add/remove fixed amounts from a running total; reach or avoid a target,Great fit - solvable optimal bot,"Bot AI is a KNOWN modular-arithmetic formula per variant, not a heuristic - easiest family to build perfect difficulty tiers for"
Nim,Subtraction Nim,1.OA.C.5/6,Nim: Combinatorial Race-to/Avoid-Target,Alternately add/remove fixed amounts from a running total; reach or avoid a target,Great fit - solvable optimal bot,"Bot AI is a KNOWN modular-arithmetic formula per variant, not a heuristic - easiest family to build perfect difficulty tiers for"
Nim,Nickeled & Dimed,2.MD.C.8,Nim: Combinatorial Race-to/Avoid-Target,Alternately add/remove fixed amounts from a running total; reach or avoid a target,Great fit - solvable optimal bot,"Bot AI is a KNOWN modular-arithmetic formula per variant, not a heuristic - easiest family to build perfect difficulty tiers for"
Nim,Division Nim,"3.OA.C.7, 4.OA.B.4",Nim: Combinatorial Race-to/Avoid-Target,Alternately add/remove fixed amounts from a running total; reach or avoid a target,Great fit - solvable optimal bot,"Bot AI is a KNOWN modular-arithmetic formula per variant, not a heuristic - easiest family to build perfect difficulty tiers for"
Nim,Hexagon Nim,1.G.A.2,Nim: Combinatorial Race-to/Avoid-Target,Alternately add/remove fixed amounts from a running total; reach or avoid a target,Great fit - solvable optimal bot,"Bot AI is a KNOWN modular-arithmetic formula per variant, not a heuristic - easiest family to build perfect difficulty tiers for"
Nim,Place Value Nim,2.NBT.A.1/2,Nim: Combinatorial Race-to/Avoid-Target,Alternately add/remove fixed amounts from a running total; reach or avoid a target,Great fit - solvable optimal bot,"Bot AI is a KNOWN modular-arithmetic formula per variant, not a heuristic - easiest family to build perfect difficulty tiers for"
Math Match,Ten Apart Match,1.NBT.C.5,Math Match: Memory Flip,"Flip 2 cards, keep if they match per the variant's rule, else flip back; most cards wins",Great fit - single reusable engine,~19 variants share ONE flip-match engine; card CONTENT rendering (clocks/coins/shapes/blocks) is the real per-variant work
Math Match,Fraction Match,3.NF.A.2,Math Match: Memory Flip,"Flip 2 cards, keep if they match per the variant's rule, else flip back; most cards wins",Great fit - single reusable engine,~19 variants share ONE flip-match engine; card CONTENT rendering (clocks/coins/shapes/blocks) is the real per-variant work
Math Match,Equivalent Fraction Match,3.NF.A.3.b,Math Match: Memory Flip,"Flip 2 cards, keep if they match per the variant's rule, else flip back; most cards wins",Great fit - single reusable engine,~19 variants share ONE flip-match engine; card CONTENT rendering (clocks/coins/shapes/blocks) is the real per-variant work
Math Match,Time Match,"1.MD.B.3, 2.MD.C.7, 3.MD.A.1",Math Match: Memory Flip,"Flip 2 cards, keep if they match per the variant's rule, else flip back; most cards wins",Great fit - single reusable engine,~19 variants share ONE flip-match engine; card CONTENT rendering (clocks/coins/shapes/blocks) is the real per-variant work
Math Match,Time of Day Match,3.MD.A.1,Math Match: Memory Flip,"Flip 2 cards, keep if they match per the variant's rule, else flip back; most cards wins",Great fit - single reusable engine,~19 variants share ONE flip-match engine; card CONTENT rendering (clocks/coins/shapes/blocks) is the real per-variant work
Math Match,Tape Diagram Match,K.OA.A.1,Math Match: Memory Flip,"Flip 2 cards, keep if they match per the variant's rule, else flip back; most cards wins",Great fit - single reusable engine,~19 variants share ONE flip-match engine; card CONTENT rendering (clocks/coins/shapes/blocks) is the real per-variant work
Math Match,Ten Strips Match,1.NBT.B.2.b,Math Match: Memory Flip,"Flip 2 cards, keep if they match per the variant's rule, else flip back; most cards wins",Great fit - single reusable engine,~19 variants share ONE flip-match engine; card CONTENT rendering (clocks/coins/shapes/blocks) is the real per-variant work
Math Match,Making Ten and 20 Match,1.NBT.B.2.b,Math Match: Memory Flip,"Flip 2 cards, keep if they match per the variant's rule, else flip back; most cards wins",Great fit - single reusable engine,~19 variants share ONE flip-match engine; card CONTENT rendering (clocks/coins/shapes/blocks) is the real per-variant work
Math Match,Four Representations Match,2.NBT.A.1/3,Math Match: Memory Flip,"Flip 2 cards, keep if they match per the variant's rule, else flip back; most cards wins",Great fit - single reusable engine,~19 variants share ONE flip-match engine; card CONTENT rendering (clocks/coins/shapes/blocks) is the real per-variant work
Math Match,Measurement Match,4.MD.A.1,Math Match: Memory Flip,"Flip 2 cards, keep if they match per the variant's rule, else flip back; most cards wins",Great fit - single reusable engine,~19 variants share ONE flip-match engine; card CONTENT rendering (clocks/coins/shapes/blocks) is the real per-variant work
Math Match,Multiplication Match,3.OA.A.1,Math Match: Memory Flip,"Flip 2 cards, keep if they match per the variant's rule, else flip back; most cards wins",Great fit - single reusable engine,~19 variants share ONE flip-match engine; card CONTENT rendering (clocks/coins/shapes/blocks) is the real per-variant work
Math Match,Repeated Addition Match,3.OA.A.1,Math Match: Memory Flip,"Flip 2 cards, keep if they match per the variant's rule, else flip back; most cards wins",Great fit - single reusable engine,~19 variants share ONE flip-match engine; card CONTENT rendering (clocks/coins/shapes/blocks) is the real per-variant work
Math Match,Addition and Subtraction Match,1.OA.C.6/D.7/D.8,Math Match: Memory Flip,"Flip 2 cards, keep if they match per the variant's rule, else flip back; most cards wins",Great fit - single reusable engine,~19 variants share ONE flip-match engine; card CONTENT rendering (clocks/coins/shapes/blocks) is the real per-variant work
Math Match,Shapes Match,1.G.A.1/2,Math Match: Memory Flip,"Flip 2 cards, keep if they match per the variant's rule, else flip back; most cards wins",Great fit - single reusable engine,~19 variants share ONE flip-match engine; card CONTENT rendering (clocks/coins/shapes/blocks) is the real per-variant work
Math Match,Money Match,2.MD.C.8,Math Match: Memory Flip,"Flip 2 cards, keep if they match per the variant's rule, else flip back; most cards wins",Great fit - single reusable engine,~19 variants share ONE flip-match engine; card CONTENT rendering (clocks/coins/shapes/blocks) is the real per-variant work
Math Match,Place Value Match,1.NBT.C.4,Math Match: Memory Flip,"Flip 2 cards, keep if they match per the variant's rule, else flip back; most cards wins",Great fit - single reusable engine,~19 variants share ONE flip-match engine; card CONTENT rendering (clocks/coins/shapes/blocks) is the real per-variant work
Math Match,Mixed Number Match,4.NF.B.3.c,Math Match: Memory Flip,"Flip 2 cards, keep if they match per the variant's rule, else flip back; most cards wins",Great fit - single reusable engine,~19 variants share ONE flip-match engine; card CONTENT rendering (clocks/coins/shapes/blocks) is the real per-variant work
Math Match,Words and Expressions Match,5.OA.A.2,Math Match: Memory Flip,"Flip 2 cards, keep if they match per the variant's rule, else flip back; most cards wins",Great fit - single reusable engine,~19 variants share ONE flip-match engine; card CONTENT rendering (clocks/coins/shapes/blocks) is the real per-variant work
Math Match,Dividing by 10s Match,5.NBT.A.1/2,Math Match: Memory Flip,"Flip 2 cards, keep if they match per the variant's rule, else flip back; most cards wins",Great fit - single reusable engine,~19 variants share ONE flip-match engine; card CONTENT rendering (clocks/coins/shapes/blocks) is the real per-variant work
Math Match,Place Value Memory (standalone doc),1.NBT.C.5,Math Match: Memory Flip,Duplicate of Ten Apart Match,Duplicate - skip,"Same mechanic as Ten Apart Match, separate legacy doc"
Go Fish,Tens Go Fish,1.OA.C.6,Go Fish: Hidden-Hand Card Request,Collect pairs summing to 10 by asking opponents for cards,Good fit - needs opponent-modeling bot,Bot must reason about probability of opponent holding a card
Go Fish,Multiplication Go Fish,3.OA.A.4/C.7,Go Fish: Hidden-Hand Card Request,Same as Tens Go Fish but pairs multiply to chosen goal products,Good fit,Reuse Go Fish engine
Gems,Division Gems,3.OA.A.2/3,Gems/Board-Fill (merge w/ Decimal Scuttle),"Shared dice pool, players draft dice round-robin onto their own board, first to complete true equations wins",Great fit - reusable engine,"Same shell as Decimal Scuttle; build once, power 4 variants"
Gems,Rounding Gems,3.NBT.A.1,Gems/Board-Fill (merge w/ Decimal Scuttle),"Shared dice pool, players draft dice round-robin onto their own board, first to complete true equations wins",Great fit - reusable engine,"Same shell as Decimal Scuttle; build once, power 4 variants"
Gems,Mixed Number Gems,4.NF.B.3.a/c,Gems/Board-Fill (merge w/ Decimal Scuttle),"Shared dice pool, players draft dice round-robin onto their own board, first to complete true equations wins",Great fit - reusable engine,"Same shell as Decimal Scuttle; build once, power 4 variants"
Tens Game,Tens Game,1.OA.C.6/D.7/D.8,Card-Tableau Target Match,Remove groups of face-up cards summing to a target from a shared 8-card spread,Good fit,Similar engine to Subtraction Truth
Subtraction Truth,Subtraction Truth,1.OA.C.6/D.7/D.8,Card-Tableau Target Match,Remove 3-4 cards from shared spread that form a true subtraction equation,Good fit,"Same engine as Tens Game, different equation type"
Zero-Sum Game,Zero-Sum Game,2.OA.B.2,Card-Tableau Target Match (hand+draw),Use hand + 1 draw card to make an expression equal to zero,Good fit,Adds a private-hand resource-management layer vs Tens Game's fully shared tableau
Zero-Sum Game,999-Sum Game,2.NBT.B.7,Card-Tableau Target Match (hand+draw),Variant: build 2 numbers (hand+draw) as close to 999 as possible without going over,Good fit,Close cousin of Scuttle/Pop mechanics
War,War (base),"(comparison, no std)",War: Value Comparison,"Play 1 card each, bigger number wins the point/cards",Great fit - trivial bot,Almost pure luck; simplest family to build
War,Fraction War,4.NF.A.1/2,War: Value Comparison,"Build a fraction card-by-card each round, compare fractions",Great fit,"Same engine, fraction comparison logic"
Fraction Frenzy,Comparing Fraction Frenzy,3.NF.A.3.d,Fraction Frenzy: Sequential Card-Stack Scoring,"Play cards to build/modify a fraction each turn, score per the variant's rule",Good fit,"3-4 variants, one engine, different scoring rule"
Fraction Frenzy,Between Whole Numbers Fraction Frenzy,4.NF.A.2,Fraction Frenzy: Sequential Card-Stack Scoring,"Play cards to build/modify a fraction each turn, score per the variant's rule",Good fit,"3-4 variants, one engine, different scoring rule"
Fraction Frenzy,Addition Fraction Frenzy,4.NF.B.3.a,Fraction Frenzy: Sequential Card-Stack Scoring,"Play cards to build/modify a fraction each turn, score per the variant's rule",Good fit,"3-4 variants, one engine, different scoring rule"
BOXO,BOXO (base),"(digit-making, no std)",BOXO: Tic-Tac-Toe via Number-Making,"Make a 1-9 number from hand cards, claim matching board cell, 3-in-a-row wins; can steal claimed cells",Good fit,Tic-tac-toe bot + card-combination logic
BOXO,Whole Number Fractions BOXO,3.NF.A.3.c,BOXO: Tic-Tac-Toe via Number-Making,Make a fraction equal to a whole number from hand cards,Good fit,"Same engine, fraction-equals-whole-number check"
BOXO,More or Less BOXO,K.CC.B.4.c/C.6/7,BOXO: Tic-Tac-Toe via Number-Making,"Roll die, claim the (roll-1) or (roll+1) cell",Good fit,"Simpler K version, same tic-tac-toe core"
Pick Your Pony,Pick Your Pony,1.OA.C.6,Race-Board: Claim-a-Lane,"Pre-place tokens on numbers, roll dice, matching-sum lanes advance (even opponent's)",Custom,Distinctive 'claim a lane' pre-placement twist; also has Sum-or-Difference/Four-Dice/Within-20 mods
Pick Your Pony,Shape Race,K.G.B.4,Race-Board: Claim-a-Lane (tactile),Same as Pick Your Pony but shapes drawn blind from a bag instead of dice,Needs redesign,Physical tactile-bag mechanic doesn't translate directly to digital
Race to 100,Race to 100,"1.OA.B.3/C.5, 1.NBT.C.4/5",Race-Board: Roll & Move,"Roll d10, move token, bonus-roll squares add forward/back randomness",Good fit,"Simple race, easy bot (bot has no real decisions - fully luck-driven)"
100 Game,The 100 Game,"3.OA.D.9, 3.NBT.A.2",Race-Board: Roll & Skip-Count,"Roll d6, skip-count by that number up to 9 times, land exactly on 100 to win",Good fit,Needs 'don't overshoot' decision logic - genuine light strategy
Dice Dash,Dice Dash,K.CC.B.4/5,Board Bingo,Cross out rolled numbers on personal 1-6 (or 1-9) board; first to clear board wins,Good fit,Trivial - no real bot decisions needed for base version; 'Up to 9' mod has a real choice
Dice Line,Dice Line,2.MD.B.6,Shared Number-Line Avoidance,Move a SHARED token on a number line; landing on an already-labeled mark loses,Good fit,"Shared-token adversarial number line, distinct engine"
Number Line Conquest,Number Line Conquest,2.MD.B.6,Number-Line Territory,"Place 3 'bases' on a number line, score ticks closer to your bases than opponent's",Good fit,Voronoi-style territory scoring on 1D line
Remainder Jump,Remainder Jump,4.NBT.B.6,Board Race: Compute-then-Move,"Divide current-space-number by drawn card, remainder = spaces to move on a hex board",Good fit,Division-remainder feeds movement instead of a threshold-sum score
Into the Unknown,Into the Unknown Equations,"3.OA.A.4/C.7/D.8, 3.NBT.A.2/3",Board Race: Question-Grid,"Roll die, move, answer a grid question (column=board col, row=roll), move fwd/back on result",Good fit,Needs a question-grid content system per variant
Into the Unknown,Into the Unknown Factors,4.OA.B.4,Board Race: Question-Grid,"Same shell, question is 'is my roll a factor of the landed number?'",Good fit,Simplest question-grid variant
Lost Treasures,Lost Treasures,5.G.A.1,Battleship: Coordinate Guessing,"Hide 4 tetromino 'treasures' on a coordinate grid, guess coordinates to find them",Good fit,Classic Battleship bot logic (probability-density targeting) applies directly
Tetro,Long Division Tetro,5.NBT.B.6,Battleship: Compute-to-Reveal,"Both hide a tetromino; solve a division problem, answer coordinate is checked hit/miss",Good fit,Hybrid of Battleship + required computation per guess
Tetro,Decimal Operations Tetro,"5.OA.A.1, 5.NBT.B.7",Battleship: Compute-to-Reveal,"Same shell, decimal operations instead of long division",Good fit,Reuse Tetro engine
Out,Out (base),"(digit rules, no std listed)",Out: Card-Shedding w/ Numeric Rule,Play cards as digits forming a number matching the active die-selected rule; empty hand wins,Good fit,Uno-style shedding + digit-rule checking
Out,Factor Out,4.OA.B.4,Out: Card-Shedding w/ Numeric Rule,"Same shell, rules are primes/composites/factors/multiples",Good fit,Reuse Out engine
Numbo,Numbo (base),(open expression building),Numbo: Open Expression Construction,"From rolled digits, build as many expressions as possible matching the variant's target/condition within a timer","Needs a solver, not a heuristic bot","Classic '24-game'-style problem - needs an expression-search algorithm, genuinely different bot engineering than arrangement games"
Numbo,Equivalent Fraction Numbo,4.NF.A.1,Numbo: Open Expression Construction,"From rolled digits, build as many expressions as possible matching the variant's target/condition within a timer","Needs a solver, not a heuristic bot","Classic '24-game'-style problem - needs an expression-search algorithm, genuinely different bot engineering than arrangement games"
Numbo,Fractions of Amounts Numbo,5.NBT.B.4,Numbo: Open Expression Construction,"From rolled digits, build as many expressions as possible matching the variant's target/condition within a timer","Needs a solver, not a heuristic bot","Classic '24-game'-style problem - needs an expression-search algorithm, genuinely different bot engineering than arrangement games"
Numbo,Operations Numbo,5.OA.A.1,Numbo: Open Expression Construction,"From rolled digits, build as many expressions as possible matching the variant's target/condition within a timer","Needs a solver, not a heuristic bot","Classic '24-game'-style problem - needs an expression-search algorithm, genuinely different bot engineering than arrangement games"
Circuit Breaker,Circuit Breaker,"(spatial strategy, no std)",Pure Strategy: Connection Game,Draw lines connecting your own markers; first to connect opposite sides wins,Needs game-tree/heuristic bot,"Bridg-It-style connection game; needs real strategy AI, not arrangement heuristics"
Sim,Sim,2.G.A.1,Pure Strategy: Avoid-Triangle Graph Game,Connect dots with lines; avoid completing a triangle in your own color,Solvable - known theory,6-vertex Sim is small enough to fully solve/lookup
Iago,Iago (+ Grade 1 variant),"2.MD.B.6, 1.OA.C.5",Pure Strategy: Number-Line Capture,Place tokens on a number line; capture opponent tokens exactly between two of yours,Needs heuristic/minimax bot,"Small board, minimax is feasible"
Even the Odds,Even the Odds,2.OA.C.3,Pure Strategy: Grid Parity,Place 1s/2s in a 3x3 grid; row/col sums scored by parity,Needs heuristic/minimax bot,Small enough for full search
Fifteen,Fifteen,1.OA.B.3/C.6,Pure Strategy: Pick-3-Sum-15,Alternately claim digits 1-9; first with 3 that sum to 15 wins,Solvable - isomorphic to Tic-Tac-Toe,Classic magic-square equivalence to tic-tac-toe; trivial perfect bot
Fact Family Four,Fact Family Four,3.OA.A.4/B.5/6/C.7,Pure Strategy: Connect-4 via Fact Families,Write a related mult/div fact adjacent to existing ones; 4-in-a-row wins,Needs heuristic bot,Connect-4-style with a fact-family generation step
Tic Tac Goals,Tic Tac Goals,"(4-digit x 4-digit mult, no std listed)",Pure Strategy: Category Tic-Tac-Toe,"Build a 2x2-digit product from 4 drawn cards, place in matching category box (odd/even product etc), 3-in-a-row wins",Needs heuristic bot + digit-arrangement math,Combines our digit-arrangement math (from Scuttle) with tic-tac-toe strategy
Gridlocked,Gridlocked,3.OA.A.4/B.5/C.7/D.8,Pure Strategy: Territory via Sums,Fill 3 cells in a row/col where 2 sum to the 3rd; largest connected area wins,Needs heuristic bot,Genuinely novel territory-claiming mechanic
Troll Hole,Troll Hole,2.NBT.B.5,Placement w/ Delayed Consequence,Place numbers 1-9 in a circle grid; the one empty 'troll hole' cancels its neighbors,Needs heuristic bot,Placement-order strategy game
Block Blob,Block Blob,"3.MD.C.5/7, 3.OA.C.7",Spatial Placement: Area Race,"Roll dice as rectangle dimensions, place adjacent-only to your own shape without overlap; largest total area wins",Needs heuristic bot + grid packing logic,Real-time grid/rectangle-packing problem
Area Dash,Area Dash,3.MD.C.7a,Spatial Placement: Unique-Area Claim,Adjust one side of your rectangle by 1 each turn; claim unique areas; first to 15 wins,Needs heuristic bot,"Small search space (10x10 grid), feasible to brute-force claimed-area optimization"
Centibocce,Centibocce,"2.MD.A.1, 2.NBT.B.5",Physical Dexterity (needs sim),"Flick coins toward a target, score = distance from target (best near 10cm)",Needs redesign,Real-world physics flicking skill; would need a physics-sim minigame to digitize meaningfully
Cookie Cutter,Cookie Cutter,"1.G.A.1, 2.G.A.1, 3.G.A.1",Physical/Spatial Tracing (needs redesign),Repeatedly trace a shape on paper without overlapping; lose if you can't place it,Needs redesign,Freeform tracing -> would become a grid-based polyomino-packing game digitally
Guess the Length,Guess the Length,1.MD.A.1/2,Perceptual Estimation,"Guess a length in tile-units, closest to true measured length scores",Needs redesign,Needs a calibrated 'visual estimation' bot rather than a math bot
